"effect id","name","description","data1","data2","data3","magic","consumables (battle)","consumables (outside battle)","accessories","quartzes"
"0","no_effect","No effect. Used as filler/placeholder.","-","-","-","-","-","-","-",""
"1","str_phys_dmg","Strength-based physical damage","STR scaling (%)","-","-","y","y","n","",""
"2","ats_mag_dmg","ATS-based magical damage","ATS scaling (%)","-","-","y","y","n","",""
"3","str_mag_dmg","Strength-based magical damage.","STR scaling (%)","-","-","y","y","n","",""
"4","flat_dmg","Flat damage (no scaling whatsoever).","HP","-","-","y","y","n","",""
"5","prop_dmg","Damage proportional to max HP (e.g. Wild Rage)","HP ratio (%)","-","-","y","y","n","",""
"6","reduce_hp","Reduce HP to target value (if above)","HP","-","-","y","y","n","",""
"7","","","","","","","","","",""
"8","","","","","","","","","",""
"9","prop_brk_dmg","Reduce break gauge proportional to max BRK","BRK ratio (%)","-","-","y","y","","target",""
"10","inflict_psn","Inflict poison status","chance","turns","-","y","y","","target",""
"11","inflict_seal","Inflict seal status","chance","turns","-","y","y","","target",""
"12","inflict_mute","Inflict mute status","chance","turns","-","y","y","","target",""
"13","inflict_blnd","Inflict blind status","chance","turns","-","y","y","","target",""
"14","inflict_slp","Inflict sleep status","chance","turns","-","y","y","","target",""
"15","inflict_burn","Inflict burn status","chance","turns","-","y","y","","target",""
"16","inflict_frz","Inflict freeze status","chance","turns","-","y","y","","target",""
"17","inflict_petr","Inflict petrify status","chance","turns","-","y","y","","target",""
"18","inflict_fnt","Inflict faint status","chance","turns","-","y","y","","target",""
"19","inflict_conf","Inflict confuse status","chance","turns","-","y","y","","target",""
"20","inflict_dblw","Inflict deathblow","chance","turns","-","y","y","","target",""
"21","inflict_nmr","Inflict nightmare status","chance","turns","-","y","y","","target",""
"22","inflict_dly","Inflict delay","chance","turns","-","y","y","","",""
"23","inflict_vnsh","Inflict vanish status","chance","turns","-","y","y","","",""
"24","inflict_lbrk","Inflict link break status","chance","turns","-","y","y","","",""
"25","impede","Impede","chance","turns","-","y","y","","","target"
"26","inflict_bdwn","Inflict balance down status","chance","turns","-","y","y","","",""
"27","","","","","","","","","",""
"28","inflict_weak","Inflict weak status. Never used in-game. Balance down and increase all elemental efficacies by 50%.","chance","turns","-","y","y","","",""
"29","inflict_random_abnormality","Inflict random abnormality.","chance","turns","-","y","y","","",""
"30","debuff_str","STR down","amount","turns","chance (%)","y","y","","target",""
"31","debuff_def","DEF down","amount","turns","chance (%)","y","y","","target",""
"32","debuff_ats","ATS down","amount","turns","chance (%)","y","y","","target",""
"33","debuff_adf","ADF down","amount","turns","chance (%)","y","y","","target",""
"34","debuff_spd","SPD down","amount","turns","chance (%)","y","y","","target",""
"35","debuff_mov","MOV down","amount","turns","chance (%)","y","y","","target",""
"36","","","","","","","","","",""
"37","debuff_random","Random stat down","amount","turns","chance","y","y","","",""
"38","","","","","","","","","",""
"39","","","","","","","","","",""
"40","inflict_mcburn","Inflict McBurn's special burn status","?","turns","chance","y","y","","",""
"41","debuff_all","All stats down","?","turns","?","y","y","","",""
"42","","","","","","","","","",""
"43","","","","","","","","","",""
"44","","","","","","","","","",""
"45","","","","","","","","","",""
"46","","","","","","","","","",""
"47","","","","","","","","","",""
"48","","","","","","","","","",""
"49","","","","","","","","","",""
"50","cure_psn","Cure poison status","-","-","-","y","y","","",""
"51","cure_seal","Cure seal status","-","-","-","y","y","","",""
"52","cure_mute","Cure mute status","-","-","-","y","y","","",""
"53","cure_blnd","Cure blind status","-","-","-","y","y","","",""
"54","cure_slp","Cure sleep status","-","-","-","y","y","","",""
"55","cure_burn","Cure burn status","-","-","-","y","y","","",""
"56","cure_frz","Cure freeze status","-","-","-","y","y","","",""
"57","cure_petr","Cure petrify status","-","-","-","y","y","","",""
"58","cure_fnt","Cure faint status","-","-","-","y","y","","",""
"59","cure_conf","Cure confuse status","-","-","-","y","y","","",""
"60","cure_nmr","Cure nightmare status","-","-","-","y","y","","",""
"61","","","","","","","","","",""
"62","","","","","","","","","",""
"63","","","","","","","","","",""
"64","","","","","","","","","",""
"65","buff_str","STR up","amount","turns","-","y","y","","target",""
"66","buff_def","DEF up","amount","turns","-","y","y","","target",""
"67","buff_adf","ATS up","amount","turns","-","y","y","","target",""
"68","buff_ats","ADF up","amount","turns","-","y","y","","target",""
"69","buff_spd","SPD up","amount","turns","-","y","y","","target",""
"70","buff_mov","MOV up","amount","turns","-","y","y","","target",""
"71","insight_effect","Gain insight status","","turns","-","y","y","","target",""
"72","","","","","","","","","",""
"73","accelerate_effect","Accelerate target(s), giving them the next turn(s)","","","","y","y","","n",""
"74","","","","","","","","","",""
"75","cure_ailments","Cure ailments","-","-","-","y","y","","",""
"76","cure_sdwn","Cure stat down","-","-","-","y","y","","",""
"77","cure_all","Cure ailments and stat down","-","-","-","y","y","","",""
"78","buff_all","All stats up","amount","turns","-","y","y","","target",""
"79","","","","","","","","","",""
"80","","","","","","","","","",""
"81","","","","","","","","","",""
"82","","","","","","","","","",""
"83","","","","","","","","","",""
"84","","","","","","","","","",""
"85","brandish_1","Brandish (Laura/Aurelia), no downtime after it runs out","?","turns","","y","y","","",""
"86","brandish_2","Brandish (Kurt), one turn downtime after it runs out","?","turns","","y","y","","",""
"87","exchange_effect","Campanella's Exchange effect","","","","y","y","","",""
"88","hide_effect","Hide effect. Cannot be targetted. Used by some monsters.","","","","","","","",""
"89","","","","","","","","","",""
"90","inflict_charm","Inflict charm status","chance?","","","y","y","","target",""
"91","","","","","","","","","",""
"92","","","","","","","","","",""
"93","enhanced_effect","Enhance","","","","y","y","","target",""
"94","","","","","","","","","",""
"95","","","","","","","","","",""
"96","","","","","","","","","",""
"97","","","","","","","","","",""
"98","","","","","","","","","",""
"99","","","","","","","","","",""
"100","hp_up","HP up by a flat amount","HP","-","-","y","y","y","",""
"101","ep_up","EP up by a flat amount","EP","-","-","y","y","y","",""
"102","cp_up","CP up by a flat amount","CP","-","-","y","y","y","",""
"103","prop_hp_up","HP up (relative to max)","HP ratio (%)","-","-","y","y","y","",""
"104","prop_ep_up","EP up (relative to max)","EP ratio (%)","-","-","y","y","y","",""
"105","prop_cp_up","CP up (relative to max)","CP ratio (%)","-","-","y","y","y","",""
"106","revive","revive with set HP","HP","-","-","y","y","y","",""
"107","revive_prop","revive with proportion of max HP","HP ratio (%)","-","-","y","y","y","",""
"108","hp_heal","HP up. Used by Tear etc.","ATS scaling?","?","","y","y","n","",""
"109","absorb_hp_phys","Deal physical damage and heal by a proportional amount.","STR scaling","efficiency (%)","","y","y","n","target",""
"110","absorb_ep","Absorb EP","EP","","","y","y","n","target",""
"111","absorb_cp","Absorb CP","CP","","","y","y","n","target",""
"112","absorb_hp_mag","Deal magical damage and heal by a proportional amount","STR scaling","efficiency (%)","","y","y","n","target",""
"113","regen_hp","Regenerate HP over time, in proportion to max HP.","HP ratio (%)","turns","","y","y","n","",""
"114","","","","","","","","","",""
"115","regen_cp","Regenerate CP over time","CP","turns","","","","","",""
"116","revive_heal_1","Revive and heal","ATS scaling","?","","y","y","","",""
"117","revive_heal_2","Revive and heal (but stronger?)","ATS scaling","","","y","y","","",""
"118","hp_ep_up","HP and EP up by a flat amount","HP","EP","-","y","y","","",""
"119","hp_cp_up","HP and CP up by a flat amount","HP","CP","-","y","y","","",""
"120","ep_cp_up","EP and CP up by a flat amount","EP","CP","-","y","y","","",""
"121","hp_ep_cp_up","HP/EP/CP up by a flat amount","HP","EP","CP","y","y","","",""
"122","cp_or_near_death","CP or near death (always 50% chance?)","CP","-","-","y","y","","target",""
"123","hp_up_and_cure","HP up and cure ailments/stat down","HP ratio (%)","-","-","y","y","","",""
"124","prop_hp_cp_up","HP and CP up","HP ratio (%)","CP","-","y","y","","",""
"125","bp_up","Gain BP","amount","-","-","y","y","n","",""
"126","","","","","","","","","",""
"127","","","","","","","","","",""
"128","","","","","","","","","",""
"129","","","","","","","","","",""
"130","","","","","","","","","",""
"131","","","","","","","","","",""
"132","","","","","","","","","",""
"133","","","","","","","","","",""
"134","","","","","","","","","",""
"135","","","","","","","","","",""
"136","","","","","","","","","",""
"137","","","","","","","","","",""
"138","","","","","","","","","",""
"139","","","","","","","","","",""
"140","","","","","","","","","",""
"141","","","","","","","","","",""
"142","","","","","","","","","",""
"143","","","","","","","","","",""
"144","","","","","","","","","",""
"145","","","","","","","","","",""
"146","","","","","","","","","",""
"147","","","","","","","","","",""
"148","","","","","","","","","",""
"149","","","","","","","","","",""
"150","","","","","","","","","",""
"151","","","","","","","","","",""
"152","ailment_immunity","Immunity to ailments","-","-","-","n","n","","wearer",""
"153","stat_down_immunity","Immunity to stat down","-","-","-","n","n","","wearer",""
"154","","","","","","","","","",""
"155","psn_immunity","Immunity to poison status","-","-","-","","","","wearer",""
"156","seal_immunity","Immunity to seal status","-","-","-","","","","wearer",""
"157","mute_immunity","Immunity to mute status","-","-","-","","","","wearer",""
"158","blnd_immunity","Immunity to blind status","-","-","-","","","","wearer",""
"159","slp_immunity","Immunity to sleep status","-","-","-","","","","wearer",""
"160","burn_immunity","Immunity to burn status","-","-","-","","","","wearer",""
"161","frz_immunity","Immunity to freeze status","-","-","-","","","","wearer",""
"162","petr_immunity","Immunity to petrify status","-","-","-","","","","wearer",""
"163","fnt_immunity","Immunity to faint status","-","-","-","","","","wearer",""
"164","conf_immunity","Immunity to confuse status","-","-","-","","","","wearer",""
"165","dblw_immunity","Immunity to deathblow status","-","-","-","","","","wearer",""
"166","nmr_immunity","Immunity to nightmare status","-","-","-","","","","wearer",""
"167","dly_immunity","Immunity to delay","-","-","-","","","","wearer",""
"168","vnsh_immunity","Immunity to vanish status","-","-","-","","","","wearer",""
"169","","","","","","","","","",""
"170","perfect_guard","Perfect guard","?","amount","","y","y","","",""
"171","craft_guard","Craft guard","?","amount","","y","y","","",""
"172","physical_reflect","Physical reflect","","amount","","y","y","","",""
"173","arts_reflect","Arts reflect","?","amount","","y","y","","",""
"174","perfect_reflect","Perfect reflect","?","amount","amount at 200 CP?","y","y","","",""
"175","","","","","","","","","",""
"176","","","","","","","","","",""
"177","","","","","","","","","",""
"178","","","","","","","","","",""
"179","","","","","","","","","",""
"180","","","","","","","","","",""
"181","","","","","","","","","",""
"182","","","","","","","","","",""
"183","","","","","","","","","",""
"184","","","","","","","","","",""
"185","","","","","","","","","",""
"186","","","","","","","","","",""
"187","","","","","","","","","",""
"188","","","","","","","","","",""
"189","","","","","","","","","",""
"190","unknown_defend_effect","Defend (in mech battles)","?","?","","","","","",""
"191","unknown_morning_moon_effect","Used by Morning Moon","?","?","","","","","",""
"192","unknown_unblockable_effect","Used by unblockable mech crafts","?","?","","","","","",""
"193","","","","","","","","","",""
"194","","","","","","","","","",""
"195","","","","","","","","","",""
"196","","","","","","","","","",""
"197","","","","","","","","","",""
"198","","","","","","","","","",""
"199","","","","","","","","","",""
"200","","","","","","","","","",""
"201","unknown_reflect","Used by Reflect","?","?","","","","","",""
"202","stealth_effect","Stealth","","turns","","y","y","","",""
"203","analyze_effect","Analyze","","","","y","y","","target",""
"204","","","","","","","","","",""
"205","emergency_puppet_effect","On KO revive with full CP, item breaks","","","","","","","wearer",""
"206","crit_chance","Crit chance up","Crit chance (percentage points)","-","-","n","n","","wearer","wearer"
"207","increase_drop_chance","Increased drop chance for KO'd monsters","Drop %","-","-","","","","wearer",""
"208","cp_gain_up","CP gain up (gladiator headband)","%","-","-","","","","wearer",""
"209","cp_up_every_turn","CP up every turn (gladiator belt)","CP","-","-","","","","wearer",""
"210","proxy_puppet_effect","On KO revive, item breaks","HP %","-","-","","","","wearer",""
"211","","","","","","","","","",""
"212","","","","","","","","","",""
"213","cast_time_modifier","Cast time modifier","multiplier","divisor","-","","","","wearer","wearer"
"214","ep_cost_modifier","EP cost modifier","multiplier","divisor","-","","","","n","wearer"
"215","unknown_summon","Monster summon effect?","","","","","","","",""
"216","","","","","","","","","",""
"217","","","","","","","","","",""
"218","","","","","","","","","",""
"219","remedy_fantasia_effect","HP up over time? Used by Remedy Fantasia.","HP %","turns","","","","","",""
"220","","","","","","","","","",""
"221","","","","","","","","","",""
"222","spell_card_effect","Spell Card effect (but only absolute deathblow when used in other places?)","","","","y","y","","",""
"223","chrono_burst_effect","User gets double turn","","","","y","n","","",""
"224","smoke_grenade_effect","Escape battle","","","","y","y","","",""
"225","","","","","","","","","",""
"226","spirit_unification_effect","Spirit unification","","turns","","y","y","","",""
"227","","","","","","","","","",""
"228","","","","","","","","","",""
"229","","","","","","","","","",""
"230","","","","","","","","","",""
"231","devil_doll_effect","Revive on KO once per battle","HP ratio (%)","-","-","","","","wearer",""
"232","","","","","","","","","",""
"233","","","","","","","","","",""
"234","","","","","","","","","",""
"235","unknown_eat","Eat?","?","?","","","","","",""
"236","unknown_spit_out","Spit out?","?","?","","","","","",""
"237","","","","","","","","","",""
"238","","","","","","","","","",""
"239","","","","","","","","","",""
"240","","","","","","","","","",""
"241","","","","","","","","","",""
"242","","","","","","","","","",""
"243","revolution_effect","if monster level ≥ attacker level, randomly increase damage","max %?","","","","","","","wearer"
"244","waterfall_effect","if monster level ≤ attacker level, randomly increase damage","max %?","","","","","","","wearer"
"245","","","","","","","","","",""
"246","","","","","","","","","",""
"247","","","","","","","","","",""
"248","","","","","","","","","",""
"249","","","","","","","","","",""
"250","","","","","","","","","",""
"251","","","","","","","","","",""
"252","","","","","","","","","",""
"253","","","","","","","","","",""
"254","","","","","","","","","",""
"255","","","","","","","","","",""
"256","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"330","domination_effect","First attack/craft deals more damage","increase (%)","-","-","","","","n","wearer"
"331","hades_effect","First magic attack deals more damage","increase (%)","-","-","","","","n","wearer"
"332","magic_evasion","Magic Evasion","chance (%)","-","-","","","","n","wearer"
"333","","","","","","","","","",""
"334","bell_effect","Reduce recovery delay for arts with the same element as the quartz","multiplier","divisor","-","","","","n","wearer"
"335","sr_bell_effect","Reduce recovery delay for all arts and increase damage for arts with the same element as the quartz","multiplier","divisor","damage increase (%)","","","","n","wearer"
"336","sepith_drop_up","Enemies drop more sepith","?","","","","","","n","wearer"
"337","","","","","","","","","",""
"338","wrath_effect","Guaranteed crit on counter","-","-","-","","","","n","wearer"
"339","dragon_vision_effect","Automatically analyse monster on KO","-","-","-","","","","n","wearer"
"340","moon_lens_effect_1","Can see enemy stats in battle","-","-","-","","","","n","wearer"
"341","aeolus_effect","Inflicted status effects last longer","?","-","-","","","","n","wearer"
"342","increase_break_damage","Increased break damage","increase (%)","-","-","","","","n","wearer"
"343","","","","","","","","","",""
"344","","","","","","","","","",""
"345","","","","","","","","","",""
"346","","","","","","","","","",""
"347","","","","","","","","","",""
"348","","","","","","","","","",""
"349","","","","","","","","","",""
"350","moon_lens_effect_2","Can see chests on the minimap","-","-","-","","","","n","wearer"
"351","hp_recovery_on_field","HP recovers on the field","recovery (% per sec)","-","-","","","","n","wearer"
"352","ep_recovery_on_field","EP recovers on the field","recovery (% per sec)","-","-","","","","n","wearer"
"353","assault_point_recovery_on_field","Assault points recover on the field","recovery (% per sec)","-","-","","","","n","wearer"
"354","restore_cp_with_field_attacks","Restore CP with field attacks","CP","-","-","","","","n","wearer"
"355","scent_effect","Enemies more likely to notice","","","","","","","",""
"356","intimidation_effect","Enemies more likely to run away","","","","","","","",""
"357","","","","","","","","","",""
"358","","","","","","","","","",""
"359","","","","","","","","","",""
"360","effort_effect","Increased chance to make a superb dish","unused?","-","-","","","","n","wearer"
"361","prankster_effect","Increased chance to make a peculiar dish","unused?","-","-","","","","n","wearer"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"400","max_hp_up","Permanent max HP bonus","HP amount","-","-","","","y","",""
"401","max_str_up","Permanent STR bonus","STR amount","-","-","","","y","",""
"402","max_def_up","Permanent DEF bonus","DEF amount","-","-","","","y","",""
"403","max_ats_up","Permanent ATS bonus","ATS amount","-","-","","","y","",""
"404","max_adf_up","Permanent ADF bonus","ADF amount","-","-","","","y","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"420","","Shining Pom?","","","","","n?","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"501","","Suction?","","","","n?","","","",""
